,행사명,개최장소,시작일자,종료일자,행사내용,홈페이지주소,전화번호,주관기관,주최기관,도로명주소,지번주소,위도,경도
0,제1회 대청호 벚꽃축제,대전광역시 동구 신상동 282번지 일원,2019-04-05,2019-04-07,"벚꽃축제, 벚꽃가요제, 벚꽃길 걷기대회 등",http://www.donggu.go.kr,042-251-6685,대전광역시 동구청(대행사: 대전문화방송),대전광역시 동구청,-,대전광역시 동구 신상동 282,36.3535904387,127.4980431419
1,코로나19 확산 방지를 위해 공연행사가 취소되었으니 향후 일정이 정해지는대로 업데이트하겠습니다.,수영구 광안리해변 일원,2021-12-31,2021-12-31,코로나19 확산 방지를 위해 공연행사가 취소되었으니 향후 일정이 정해지는대로 업데이트하겠습니다.,www.suyeong.go.kr/eobang,051-610-4062,수영구,수영구축제위원회,부산광역시 수영구 남천동로100,부산광역시 수영구 남천동148-15,35.14537016,129.1123694
2,강감찬축제,온라인 개최,2021-10-14,2021-10-17,"강감찬 장군 출병식 및 전승행렬 거리 퍼레이드, 고려마을 테마 체험부스, 강감찬 장군 추모제향 등 다채로운 행사 진행",http://www.gwanak.go.kr/html/gang/sub/sub.html,02-879-5603,관악구,관악구,"서울특별시 관악구 관악로 145, 교육사업과(관악구청)",서울특별시 관악구 봉천동 1570-1,37.47823402,126.9515012
3,천만송이 국화축제,중앙체육공원,2022-10-28,2022-11-06,국화축제,https://www.iksan.go.kr/gukhwa/index.iksan,063-859-4977,익산시 농업기술센터,익산시,전라북도 익산시 하나로 322,-,35.94972951,126.9861274
4,담양대나무축제,죽녹원 및 관방제림 일원,2022-05-01,2022-05-05,"대나무 관련 전시, 체험, 공연, 판매 등",www.bamboofestival.co.kr,061-380-3152,(사)담양대나무축제위원회,전라남도 담양군청,전라남도 담양군 담양읍 메타프로방스 1길 17,전라남도 담양군 담양읍 학동리 586-1,35.32260525,127.0018114
5,담양산타축제,담양 원도심 및 메타프로방스 일원,2022-12-17,2022-12-31,"크리스마스거리조성, 크리스마스마켓 운영 등",-,061-380-3152,담양산타축제추진위원회,전라남도 담양군청,전라남도 담양군 담양읍 메타프로방스 1길 17,전라남도 담양군 담양읍 학동리 586-1,35.32260525,127.0018114
6,추월산벚꽃축제,용면 추월산광장 일원,2022-04-09,2022-04-10,"벚꽃노래자랑, 특산품판매 등",-,061-380-3152,용면청년회,전라남도 담양군청,전라남도 담양군 용면 추월산로 369,전라남도 담양군 용면 추성리 478-1,35.36483985,126.9872053
7,창평전통음식문화축제,창평슬로시티 일원,2022-10-26,2022-10-28,"슬로푸드전시, 체험, 판매 등",-,061-380-3152,창평면주민자치위원회,전라남도 담양군청,전라남도 담양군 창평면 돌담길 56-24,전라남도 담양군 창평면 창평리 113-1,35.23525084,127.017861
8,가로수사랑음악회,가로수사랑군민연대,2022-11-05,2022-11-06,"지역출신가수공연, 특집라디오공개방송 등",-,061-380-3152,담양가로수사랑군민연대,전라남도 담양군청,전라남도 담양군 담양읍 지침3길 7-5,전라남도 담양군 담양읍 지침리 132-28,35.31617363,126.9840063
9,고서포도축제,고서면 증암천변 일원,2023-08-19,2023-08-21,특산품 홍보 및 판매,-,061-380-3152,고서포도축제추진위원회,전라남도 담양군청,전라남도 담양군 고서면 가사문학로 325,전라남도 담양군 고서면 동운리 583-4,35.22370105,126.9729391
